id,name,token,country,is_ico,is_ieo,is_sto,ico_start,ico_end,price_usd,raised_usd,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,bounty,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,platform,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,Coinmarketcap_identifier,ERC20,contract_address,Source
4378,Bodhi,BOT,USA,1,0,0,2017-09-25,2017-10-10,0.37,,0.6,,,,0,0,,,0,,,,,1,,https://www.bodhi.network/file/whitepaper/Bodhi_English_White_Paper.pdf,https://www.linkedin.com/company/buckycoin/,https://www.github.com/bodhiproject?tab=repositories,https://www.bodhi.network?utm_source=icobench,2.4,,2211,0,,ICObench
4379,Bucky,BUCKY,Seychelles,1,0,0,2018-10-29,2018-12-31,0.25,,0.41,,385400000,No,1,0,,,0,,2018-08-29,2018-10-28,0.15,0,ETH,https://www.buckycoin.io/buckycoin-whitepaper.pdf,https://www.linkedin.com/company/buckycoin/,https://www.github.com/buckycoin?tab=repositories,https://www.buckycoin.io?utm_source=icobench,2.5,10,,1,,ICObench
4380,Bumo,BU,China,1,0,0,2018-09-07,2018-10-07,2.23E-2,,,,1500000000,No,1,0,,,0,,,,,0,ETH,https://www.bumo.io/static/whitepaper/white-paper.html,https://www.linkedin.com/company/burstex/,,https://www.bumo.io/developer?utm_source=icobench,2.4,,3295,1,,ICObench
4381,Burstex,BEX,Slovakia,1,0,0,2020-02-16,2020-02-23,3.5000000000000001E-3,,0.8,,2158812800,No,0,0,USA,,0,,2020-02-15,2020-02-16,,0,"Burst Coin, Fiat",https://burstex.io/wp-content/uploads/2020/01/Burstex-Whitepaper.pdf,,https://www.github.com/burst-apps-team?tab=repositories,https://burstex.io/?utm_source=icobench,2.4,,,0,,ICObench
4382,Celestial Coin,CEL,USA,1,0,0,2017-11-15,2018-04-15,0.1,,0.81,,34020000,No,0,0,,,0,,,,,0,"BTC, ETH",https://celestialcoin.co/whitepaper1.pdf,https://www.linkedin.com/company/celestial-coin/,,https://celestialcoin.co/?utm_source=icobench,2.4,,,1,,ICObench
4383,Chain ID,CID,British Virgin Islands,1,0,0,2018-02-01,2018-02-28,0.85,,0.7,,7000000,No,0,0,"China, USA, Canada",,0,,,,,0,ETH,https://chain-id.org/whitepaper/ChainID%20-%20Whitepaper.pdf,,,https://chain-id.org?utm_source=icobench,2.4,4,,1,,ICObench
4384,Charg Coin,CHARG,USA,1,0,0,2017-11-15,2017-12-31,2.12,150000,,,,,0,0,,,0,,,,,1,ETH,https://www.charg.io/white-paper-roadmap,https://www.linkedin.com/company/charg-coin/,,https://www.charg.io/token-sale?utm_source=icobench,2.5,15,5400,1,,ICObench
4385,CI Chain,CIC,Singapore,1,0,0,2018-09-01,2018-10-01,1,,0.75,,375000000,Yes,1,0,,,0,,,,,1,,https://cellintel.io/wp-content/uploads/2018/03/CIC_whitepaper_V3.9.pdf,,,https://cellintel.io/?utm_source=icobench,2.4,,,1,,ICObench
4386,Circles,CRC,Singapore,1,0,0,2017-09-18,2017-10-18,1.4999999999999999E-2,,0.7,,350000000,,0,0,,,0,,,,,1,ETH,https://drive.google.com/file/d/0B2SB1klk7d28dXdoLUY1b240SDA/view,,,https://circlesproject.io/?utm_source=icobench,2.4,,,1,,ICObench
4387,Cogenero,COG,UK,1,0,0,2019-05-01,2019-05-31,1.66E-2,,0.6,,600000000,Yes,1,0,"USA, China",,1,,2018-10-01,2018-10-30,,1,ETH,https://cogenero.com/cogenero_wpv12.pdf,,https://www.github.com/cogenero?tab=repositories,https://cogenero.com/?utm_source=icobench,2.2,3,,1,,ICObench
