id;name;token;country;is_ico;is_ieo;is_sto;ico_start;ico_end;price_usd;raised_usd;distributed_in_ico;sold_tokens;token_for_sale;whitelist;kyc;bonus;restricted_areas;min_investment;bounty;mvp;pre_ico_start;pre_ico_end;pre_ico_price_usd;platform;accepting;link_white_paper;linkedin_link;github_link;website;rating;teamsize;Coinmarketcap_identifier;ERC20
5714;Decimated;DIO;Estonia;0;1;0;2019-03-06;2019-04-05;0.01;NA;0.6;NA;6E+08;No;1;0;USA;NA;0;Available;NA;NA;0.05;1;ETH, BTC, LTC, BCH, Fiat;https://www.dropbox.com/s/jm14tc36q91m6uy/DECIMATED%20MMO%20whitepaper%20WIP%20unformatted.pdf?dl=0;https://www.linkedin.com/company/fracture-labs-games/;https://www.github.com/fracturelabsgames?tab=repositories;https://www.decimated.net?utm_source=icobench;4.1;7;3908;1
5715;Tokenmom;TM;South Korea;0;1;0;2019-01-31;2019-06-07;3.21183036E-3;NA;0.4;NA;8E+08;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;ETH;https://www.tokenmom.com/whitepaper_eng_1.1.pdf;https://www.linkedin.com/company/tokenmom/;None;https://www.tokenmom.com/?utm_source=icobench;2.8;7;NA;1
5716;WHIRL;WRL;Malta;0;1;0;2018-11-26;2019-08-27;1E-04;NA;708;NA;4E+13;No;0;0;USA;NA;1;Available;NA;NA;NA;1;ADA, BCH, BTC, DASH, EOS, ETH, KICK, LTC, WRL, XML, XRP, BNT;https://whirl.com/WHIRL_WP.pdf;https://www.linkedin.com/company/whirlofficial/;None;https://whirl.com?utm_source=icobench;2.7;7;NA;1
5717;Alfa-Enzo;NZO;Cayman Islands;0;1;0;2018-11-16;2019-06-21;0.01;NA;0.6;NA;1.26e+10;No;0;0;NA;1 ETH;1;Available;2018-08-03;2018-11-15;NA;1;ETH, BTC, BCH, Fiat;https://www.alfaenzo.io/libs/pdf/whitepaper.pdf;https://www.linkedin.com/company/alfainc/;None;https://www.alfaenzo.io?utm_source=icobench;2.6;10;5102;1
5718;SID Token;SIDT;Gibraltar;0;1;0;2018-11-15;2019-03-31;1.1299999999999999E-2;NA;0.41;NA;1E+13;Yes;1;0;USA, China;100 EUR;0;Available;2018-06-15;2018-11-01;NA;1;BTC, BCH, BTG, LTC, ETH, XLM, Fiat;https://s3-eu-west-1.amazonaws.com/sid.frinwo.com/whitepaper/WhitePaper_Summary.pdf;NA;https://www.github.com/shareinternetdata?tab=repositories;https://shareinternetdata.io?utm_source=icobench;4.1;23;NA;0
5719;Luxbio;BIO;Hong Kong;0;1;0;2018-11-15;2019-02-28;0.15;NA;0.3;NA;3E+09;No;0;0;None;NA;0;NA;NA;NA;NA;1;ETH;http://luxbio.io/img/upload/English.pdf;NA;None;http://luxbio.io/others?utm_source=icobench;1.5;1;NA;1
5720;Medical Cannabis;MCan;British Virgin Islands;0;1;0;2018-08-31;2019-03-18;0.55990368000000001;NA;0.5;NA;2.75e+09;No;1;0;USA, Iran, North Korea, Syria, Sudan, Cuba;50 EUR;0;NA;2018-05-21;2018-08-30;0.1176664;0;EUR, USD ,GBP, YEN, CHF, IDR, CNY, BTC, ETH, BCH, XRP;https://mcan.io/pdf/white-paper.pdf;NA;None;https://medicancoin.com?utm_source=icobench;3.3;4;NA;0
5721;Dusk Network;DUSK;Netherlands;0;1;0;2018-08-01;2018-11-22;1.9300000000000001E-2;NA;NA;NA;5E+08;No;1;0;Canada, North Korea, Ethiopia, Iran, Iraq, Serbia, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, USA, Vanuatu, Yemen;NA;0;Available;NA;NA;5.7599999999999998E-2;0;"BTC ; ETH";https://images.fxempire.com/ico/whitepaper/dusk-whitepaper.pdf;https://www.linkedin.com/company/dusknetwork/;https://www.github.com/dusk-network?tab=repositories;https://www.dusk.network/?utm_source=icobench;3.6;6;4092;0
5722;Leap;LEAP;Cayman Islands;1;0;0;2017-12-31;2018-02-28;0.28266214000000001;NA;0.6;NA;4E+08;NA;0;0;NA;NA;0;NA;2017-11-30;2017-12-30;NA;0;ETH;https://leap.gg/assets/docs/LEAP-WhitePaper.pdf;NA;NA;NA;NA;4;NA;NA
5723;KeepPet;PET;Russia;1;0;0;2017-12-31;2018-01-15;1.5;0;NA;NA;7E+05;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;ETH, BTC;https://docs.google.com/document/d/1OgiWGPPryZ9qjJN6jfKEeFNlHhNp0R5gNNyEv--0OHU/edit#heading=h.5hh64ghdycy3;https://www.linkedin.com/company/keeppet/;NA;NA;NA;1;NA;NA
5724;Cobalt Lend;CBLT;USA;1;0;0;2020-10-31;2020-11-30;8.4000000000000005E-2;NA;0.2;NA;2E+08;NA;1;0;NA;NA;0;NA;NA;NA;NA;0;ETH, BTC, BNB;https://secureservercdn.net/198.71.233.96/nkr.655.myftpupload.com/wp-content/uploads/2020/09/Cobalt-Lend-Lite-White-Paper-1.pdf;https://www.linkedin.com/in/michael-m-wrapp-cobalt-lend-9a83571b9/;NA;NA;NA;NA;NA;NA
5725;1ai;1AI;Indonesia;1;0;0;2019-10-31;2019-12-31;8.0000000000000004E-4;NA;0.7;NA;1.4e+10;NA;0;0;NA;NA;0;Available;NA;NA;NA;0;ETH, BTC, Fiat;https://www.1ai.io/WHITEPAPER-ICO-P2.pdf;https://www.linkedin.com/company/1ai/;NA;NA;NA;NA;5105;NA
5726;BCA Solutions;BCAS;Vietnam;0;1;0;2019-10-31;2019-11-03;0.1;NA;0.38;NA;4E+07;NA;0;0;NA;NA;1;Available;NA;NA;NA;0;ETH, BTC, Fiat;https://bcacash.io/BCA_English.pdf;https://www.linkedin.com/company/bcas-io/;NA;NA;NA;NA;NA;NA
5727;Noveltyinc;NVI;South Africa;1;0;0;2020-08-31;2020-09-30;1;NA;0.7;NA;2E+06;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;ETH, BTC, XRP, BCH, USDT, USDC, BNB, Fiat;https://noveltyinc.co.za/#docs;https://www.linkedin.com/company/noveltyinc/;NA;NA;NA;2;NA;NA
5728;LIQ Network;LIQ;Unknown;1;0;0;2020-07-31;2020-08-07;NA;NA;0.05;NA;5E+06;NA;0;0;NA;NA;0;NA;NA;NA;0.04;0;BPT;https://liq.gitbook.io/docs/;NA;NA;NA;NA;NA;NA;NA
5729;Aggregion;AGG;UK;1;0;0;2019-05-31;2019-06-30;8.0434066799999995E-2;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;2019-04-30;2019-05-15;NA;0;ETH;https://drive.google.com/file/d/1AB64TVUO5vindCPL_JvVEgPlm-5p0X8Y/view;https://www.linkedin.com/company/aggregion-ltd-/;NA;NA;NA;21;NA;NA
5730;OpenPoll;POL;USA;1;0;0;2018-03-31;2018-05-15;0.13;0;NA;NA;8.5e+07;NA;0;0;NA;NA;0;NA;2018-02-16;2018-03-31;0.1;0;NA;http://openpoll.io/whitepaper/latest;https://www.linkedin.com/company/openpoll/;NA;NA;NA;11;NA;NA
5731;1WorldBlockchain;WBD;Seychelles;1;0;0;2018-03-31;2018-06-01;0.5;0;NA;NA;1.76e+08;NA;0;0;NA;NA;0;NA;2017-11-20;NA;NA;0;NA;https://coin.1worldblockchain.com/files/whitepaper-en.pdf;https://www.linkedin.com/company/1worldblockchain-llc/;NA;NA;NA;3;NA;NA
5732;KODAK One;KODAKCOIN;Unknown;1;0;0;2018-01-31;NA;NA;2E+06;NA;NA;NA;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;TBD;NA;NA;NA;NA;NA;NA
5733;PlutusX;PLTX;USA;1;0;0;2018-11-30;2019-02-25;0.15;NA;0.7;NA;4E+08;Yes;1;0;NA;NA;0;Available;2018-06-27;2018-10-30;105;0;BTC, ETH, LTC, XRP, Fiat;https://plutusx.com/wp-content/uploads/2018/06/PlutusX-Whitepaper-ENG-v1.0.pdf;https://www.linkedin.com/company/plutusx/;NA;NA;NA;11;NA;NA
5734;GG World Lottery;GGC;British Virgin Islands;1;0;1;2018-11-30;2019-02-28;1;6113210;0.75;NA;3.75e+08;NA;1;0;NA;NA;0;Available;2018-07-01;2018-11-29;NA;0;ETH;https://ggc.gg.international/pdf/whitepaper_v1.06.pdf;https://www.linkedin.com/company/gginternational/;NA;NA;NA;11;NA;NA
5735;Zelos;ZEO;Germany;1;0;0;2020-10-30;2020-11-15;0.34;NA;0.5;NA;1.8e+08;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;ETH, BTC, Fiat;https://www.docdroid.net/mCpBiOu/yieldly-zeo-whitepaper-pdf;NA;NA;NA;NA;NA;NA;NA
5736;Mt Pelerin;MPS;Switzerland;1;0;1;2018-10-30;2018-12-15;5;2E+06;NA;NA;5E+05;Yes;1;0;NA;NA;0;NA;NA;NA;NA;0;ETH, BTC, Fiat;NA;https://www.linkedin.com/company/mt-pelerin/;NA;NA;NA;18;NA;NA
